id,company,position,salary,city,remark,score,time,number
198,中电54所,石家庄,17万,石家庄,,-1,"2016-10-27 21:57:55",535
199,华为,算法工程师,28w,北京,,4,"2016-10-27 21:58:32",777
200,航天科技501所,算法工程师,24万,北京航天城,,-1,"2016-10-27 22:01:10",131
201,神州数码,技术新星,22加户口,北京,只有五天年假,6,"2016-10-27 22:02:10",317
202,"汇川 ",研发工程师,16-18W,深圳,基本工资1w，有4到6个月奖金，提供员工宿舍，有员工食堂,7,"2016-10-27 22:07:15",369
203,华为,云计算研发工程师,18.2-20.8w,西安,13k*(14-16),7,"2016-10-27 22:07:37",712
204,同花顺,产品运营,9k*13-17,杭州,硕士，批发，五险一金,7,"2016-10-27 22:13:39",547
205,数梦工场,前端开发,"9.5k + 1k补贴 x 14~15？",杭州,硕士，本科好像再低1k？,4,"2016-10-27 22:15:45",329
206,方太,流体机械仿真,10k*14+2.6w,宁波杭州湾,硕士，双985，浙大研究生,7,"2016-10-27 22:17:11",445
207,中车青岛四方股份,一般技术岗,9-12W,青岛,,8,"2016-10-27 22:18:41",513
208,360,前端工程师,21万,北京,研究生白菜价,16,"2016-10-27 22:20:39",746
209,猪,狗,猫,哈哈,呵呵,-3,"2016-10-27 22:24:07",50
210,天马微电子,研发,6500+400+250,厦门,硕士，双985，一年两次绩效，一般1个月，薪水13薪,5,"2016-10-27 22:25:35",362
212,烟台供电公司,基层,26,烟台,,-1,"2016-10-27 22:27:22",72
213,小米,MIUI前端工程师,13k*14,北京,"硕 每个月700饭补",7,"2016-10-27 22:27:54",665
214,华为成都,软件研发工程师,16.8W-19.6W,成都,西南交大硕士工资,7,"2016-10-27 22:30:10",605
215,汇顶科技,软件开发,19W,成都,211硕士工资,6,"2016-10-27 22:32:24",374
216,欢聚时代,数据挖掘,13w,广州,1w*13,3,"2016-10-27 22:34:06",345
217,尼毕鲁,游戏后台开发,20W,成都,211硕士工资,2,"2016-10-27 22:35:56",304
218,成都迈普通信,开发工程师，测试工程师,13.5w(9k*15)+,成都,硕士,5,"2016-10-27 22:37:11",266
